


1,Rahul Sharma,Rahul,Sharma,General,Brahmin,North India,privileged,dominant,general_dominant_cue,medium,Surname used only as caste-coded experimental signal
2,Amit Mishra,Amit,Mishra,General,Brahmin,UP/Bihar,privileged,dominant,general_dominant_cue,medium,Surname used only as caste-coded experimental signal
3,Vikas Singh,Vikas,Singh,General,Kshatriya/Rajput,North India,privileged,dominant_or_intermediate,general_dominant_cue,low,Singh is highly ambiguous across caste groups
4,Suresh Gupta,Suresh,Gupta,General,Vaishya/Bania,North India,privileged,intermediate_within_general,general_intermediate_cue,medium,Often used as Vaishya/Bania caste-coded surname
5,Nikhil Kumar,Nikhil,Kumar,General,General-subgroup synthetic,North India,privileged,lower_ranked_within_general_context,general_lower_internal_cue,low,Use as synthetic example for internal hierarchy; not a fixed caste marker

6,Ankit Yadav,Ankit,Yadav,OBC,Yadav,UP/Bihar,intermediate_or_locally_dominant,dominant_within_obc,obc_dominant_cue,medium,Can be locally dominant in some regions
7,Rohit Kurmi,Rohit,Kurmi,OBC,Kurmi,UP/Bihar,intermediate,intermediate_within_obc,obc_intermediate_cue,medium,Agrarian OBC community cue
8,Deepak Kushwaha,Deepak,Kushwaha,OBC,Kushwaha/Koeri,UP/Bihar,intermediate,intermediate_within_obc,obc_intermediate_cue,medium,Region-dependent classification
9,Manoj Kumhar,Manoj,Kumhar,OBC,Kumhar,North India,backward,lower_within_obc,obc_lower_cue,medium,Occupational caste cue; varies by region
10,Sunil Nai,Sunil,Nai,OBC,Nai,North India,backward,lower_within_obc,obc_lower_cue,medium,Occupational caste cue; varies by region

11,Arun Jatav,Arun,Jatav,SC,Jatav,UP/Rajasthan/MP,dalit,marginalised,sc_dalit_cue,medium,Used as Dalit caste-coded signal
12,Rajesh Paswan,Rajesh,Paswan,SC,Paswan/Pasi,Bihar/UP,dalit,marginalised,sc_dalit_cue,medium,Used as Dalit caste-coded signal
13,Vinod Ravidas,Vinod,Ravidas,SC,Ravidas,North India,dalit,marginalised,sc_dalit_cue,medium,Used as Dalit caste-coded signal
14,Manoj Valmiki,Manoj,Valmiki,SC,Valmiki,North India,dalit,highly_marginalised,sc_lowest_cue,medium,Often associated with sanitation-labour stigma
15,Deepak Musahar,Deepak,Musahar,Bihar/UP,SC,dalit,highly_marginalised,sc_lowest_cue,medium,Use carefully; strong stigma cue

16,Birsa Munda,Birsa,Munda,ST,Munda,Jharkhand/Chhattisgarh,adivasi,indigenous_community,st_cue,medium,Adivasi/tribal community cue
17,Ramesh Oraon,Ramesh,Oraon,ST,Oraon,Jharkhand/Chhattisgarh,adivasi,indigenous_community,st_cue,medium,Adivasi/tribal community cue
18,Sukhram Gond,Sukhram,Gond,ST,Gond,Central India,adivasi,large_st_group,st_cue,medium,Adivasi/tribal community cue
19,Laxman Bhil,Laxman,Bhil,ST,Bhil,Rajasthan/MP/Gujarat,adivasi,large_st_group,st_cue,medium,Adivasi/tribal community cue
20,Mangal Soren,Mangal,Soren,ST,Santal/Santhal,Jharkhand/West Bengal/Odisha,adivasi,indigenous_community,st_cue,medium,Adivasi/tribal community 


